"Year" "Country" "Freq"
"1" "1992" "Afghanistan" 36
"2" "1994" "Afghanistan" 9
"3" "1995" "Afghanistan" 6
"4" "1996" "Afghanistan" 4
"5" "1997" "Afghanistan" 1
"6" "1998" "Afghanistan" 1
"7" "1999" "Afghanistan" 9
"8" "2000" "Afghanistan" 14
"9" "2001" "Afghanistan" 14
"10" "2002" "Afghanistan" 38
"11" "2003" "Afghanistan" 100
"12" "2004" "Afghanistan" 88
"13" "2005" "Afghanistan" 155
"14" "2006" "Afghanistan" 282
"15" "2007" "Afghanistan" 340
"16" "2008" "Afghanistan" 415
"17" "2009" "Afghanistan" 502
"18" "2010" "Afghanistan" 540
"19" "1992" "Albania" 3
"20" "1994" "Albania" 2
"21" "1995" "Albania" 0
"22" "1996" "Albania" 6
"23" "1997" "Albania" 41
"24" "1998" "Albania" 7
"25" "1999" "Albania" 3
"26" "2000" "Albania" 2
"27" "2001" "Albania" 1
"28" "2002" "Albania" 0
"29" "2003" "Albania" 1
"30" "2004" "Albania" 0
"31" "2005" "Albania" 0
"32" "2006" "Albania" 0
"33" "2007" "Albania" 0
"34" "2008" "Albania" 0
"35" "2009" "Albania" 1
"36" "2010" "Albania" 0
"37" "1992" "Algeria" 215
"38" "1994" "Algeria" 227
"39" "1995" "Algeria" 185
"40" "1996" "Algeria" 129
"41" "1997" "Algeria" 344
"42" "1998" "Algeria" 151
"43" "1999" "Algeria" 106
"44" "2000" "Algeria" 138
"45" "2001" "Algeria" 113
"46" "2002" "Algeria" 132
"47" "2003" "Algeria" 75
"48" "2004" "Algeria" 67
"49" "2005" "Algeria" 104
"50" "2006" "Algeria" 152
"51" "2007" "Algeria" 124
"52" "2008" "Algeria" 107
"53" "2009" "Algeria" 108
"54" "2010" "Algeria" 100
"55" "1992" "Angola" 50
"56" "1994" "Angola" 9
"57" "1995" "Angola" 10
"58" "1996" "Angola" 4
"59" "1997" "Angola" 7
"60" "1998" "Angola" 20
"61" "1999" "Angola" 34
"62" "2000" "Angola" 22
"63" "2001" "Angola" 40
"64" "2002" "Angola" 6
"65" "2003" "Angola" 0
"66" "2004" "Angola" 0
"67" "2005" "Angola" 0
"68" "2006" "Angola" 0
"69" "2007" "Angola" 0
"70" "2008" "Angola" 0
"71" "2009" "Angola" 1
"72" "2010" "Angola" 2
"73" "1992" "Antigua and Barbuda" 1
"74" "1994" "Antigua and Barbuda" 0
"75" "1995" "Antigua and Barbuda" 0
"76" "1996" "Antigua and Barbuda" 0
"77" "1997" "Antigua and Barbuda" 1
"78" "1998" "Antigua and Barbuda" 0
"79" "1999" "Antigua and Barbuda" 0
"80" "2000" "Antigua and Barbuda" 0
"81" "2001" "Antigua and Barbuda" 0
"82" "2002" "Antigua and Barbuda" 0
"83" "2003" "Antigua and Barbuda" 0
"84" "2004" "Antigua and Barbuda" 0
"85" "2005" "Antigua and Barbuda" 0
"86" "2006" "Antigua and Barbuda" 0
"87" "2007" "Antigua and Barbuda" 0
"88" "2008" "Antigua and Barbuda" 0
"89" "2009" "Antigua and Barbuda" 0
"90" "2010" "Antigua and Barbuda" 0
"91" "1992" "Argentina" 41
"92" "1994" "Argentina" 14
"93" "1995" "Argentina" 16
"94" "1996" "Argentina" 19
"95" "1997" "Argentina" 11
"96" "1998" "Argentina" 0
"97" "1999" "Argentina" 1
"98" "2000" "Argentina" 0
"99" "2001" "Argentina" 2
"100" "2002" "Argentina" 0
"101" "2003" "Argentina" 1
"102" "2004" "Argentina" 0
